# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2012-06-18 00:00:00,19,18,94,0.5,,160,16.6,,,,
2012-06-18 01:00:00,19.4,18.2,93,,,170,11.2,,1011.5,,
2012-06-18 02:00:00,20,18.8,93,0,,200,9.4,,1011.2,,
2012-06-18 03:00:00,19.4,18.2,93,0,,190,7.6,,1011.5,,
2012-06-18 04:00:00,18.9,18.2,96,0,,200,5.4,,1011.8,,
2012-06-18 05:00:00,18.3,17.8,97,0,,,0,,1011.9,,
2012-06-18 06:00:00,18.3,17.1,93,0,,,0,,1012.2,,
2012-06-18 07:00:00,18.9,18.2,96,0,,,0,,1012.3,,
2012-06-18 08:00:00,20,18.8,93,0,,210,9.4,,1012.1,,
2012-06-18 09:00:00,22.2,19.9,87,0,,220,11.2,,1012.6,,
2012-06-18 10:00:00,23.9,20.6,82,0,,200,9.4,,1012.9,,
2012-06-18 11:00:00,26.1,20.7,72,0,,210,14.8,,1013,,
2012-06-18 12:00:00,27.2,20.1,65,0,,240,14.8,,1012.9,,
2012-06-18 13:00:00,28.3,20.1,61,0,,260,13,,1012.5,,
2012-06-18 14:00:00,28.9,20.1,59,0,,240,11.2,,1012,,
2012-06-18 15:00:00,29.4,20.6,59,0,,210,9.4,,1011.5,,
2012-06-18 16:00:00,21,18.9,88,0.3,,300,64.8,,,,
2012-06-18 17:00:00,20.6,18.9,90,8.9,,130,25.9,,1012.8,,
2012-06-18 18:00:00,20.6,18.9,90,0.5,,210,22.3,,1012.6,,
2012-06-18 19:00:00,21.1,18.9,87,0,,190,16.6,,1011.9,,
2012-06-18 20:00:00,22.2,18.4,79,0,,190,18.4,,1012.1,,
2012-06-18 21:00:00,21.7,17.9,79,0,,190,20.5,,1012.5,,
2012-06-18 22:00:00,21.1,17.1,78,0,,190,22.3,,1012.8,,
2012-06-18 23:00:00,21.1,17.1,78,0,,200,20.5,,1013.1,,
2012-06-19 00:00:00,21.1,17.1,78,0,,200,13,,1014.1,,
2012-06-19 01:00:00,21.7,17.9,79,0,,220,16.6,,1015.4,,
2012-06-19 02:00:00,21.7,17.9,79,0,,200,14.8,,1014.7,,
2012-06-19 03:00:00,21.7,17.9,79,0,,220,11.2,,1014.3,,
2012-06-19 04:00:00,21.7,17.9,79,0,,210,11.2,,1014.7,,
2012-06-19 05:00:00,21.7,17.9,79,0,,220,13,,1014.9,,
2012-06-19 06:00:00,21.1,17.7,81,0,,200,13,,1015.2,,
2012-06-19 07:00:00,21.1,17.7,81,0,,210,11.2,,1015.7,,
2012-06-19 08:00:00,23.3,18.4,74,0,,220,11.2,,1016.4,,
2012-06-19 09:00:00,25.6,18.3,64,0,,250,20.5,,1016.7,,
2012-06-19 10:00:00,27.2,19,61,0,,270,20.5,,1016.9,,
2012-06-19 11:00:00,28.3,19,57,0,,270,24.1,,1017.3,,
2012-06-19 12:00:00,28.9,19.5,57,0,,250,24.1,,1017.6,,
2012-06-19 13:00:00,29.4,19.4,55,0,,250,31.7,,1017.5,,
2012-06-19 14:00:00,30.6,19,50,0,,270,25.9,,1017.8,,
2012-06-19 15:00:00,31.1,20.1,52,0,,250,22.3,,1017.4,,
2012-06-19 16:00:00,31.1,19.5,50,0,,240,20.5,,1017.1,,
2012-06-19 17:00:00,31.7,19,47,0,,240,25.9,,1016.8,,
2012-06-19 18:00:00,31.7,19,47,0,,260,18.4,,1017,,
2012-06-19 19:00:00,31.1,18.5,47,0,,240,16.6,,1017.1,,
2012-06-19 20:00:00,30,18.8,51,0,,210,13,,1017,,
2012-06-19 21:00:00,28.3,19,57,0,,200,9.4,,1017.2,,
2012-06-19 22:00:00,27.2,18.2,58,0,,210,14.8,,1017.6,,
2012-06-19 23:00:00,26.1,18.3,62,0,,220,14.8,,1018.1,,
2012-06-20 00:00:00,25,18.2,66,0,,220,13,,1018.5,,
2012-06-20 01:00:00,24.4,17.9,67,0,,210,9.4,,1018.4,,
2012-06-20 02:00:00,22.8,17.7,73,0,,220,9.4,,1018.3,,
2012-06-20 03:00:00,22.2,17.8,76,0,,220,7.6,,1018.5,,
2012-06-20 04:00:00,21.7,17.9,79,0,,200,7.6,,1018.7,,
2012-06-20 05:00:00,20.6,17.2,81,0,,220,9.4,,1018.8,,
2012-06-20 06:00:00,20.6,17.2,81,0,,200,5.4,,1019.7,,
2012-06-20 07:00:00,21.1,17.7,81,0,,210,7.6,,1020.2,,
2012-06-20 08:00:00,22.8,18.3,76,0,,220,11.2,,1020.5,,
2012-06-20 09:00:00,25.6,19,67,0,,240,13,,1020.8,,
2012-06-20 10:00:00,27.8,18.8,58,0,,250,13,,1020.6,,
2012-06-20 11:00:00,29.4,19.4,55,0,,280,13,,1020.6,,
2012-06-20 12:00:00,30,18.4,50,0,,260,9.4,,1020.3,,
2012-06-20 13:00:00,30.6,19,50,0,,250,16.6,,1020,,
2012-06-20 14:00:00,31.1,17.8,45,0,,250,18.4,,1019.4,,
2012-06-20 15:00:00,31.7,17.2,42,0,,260,16.6,,1018.6,,
2012-06-20 16:00:00,31.7,17.2,42,0,,250,20.5,,1018,,
2012-06-20 17:00:00,32.2,17.7,42,0,,240,20.5,,1017.5,,
2012-06-20 18:00:00,32.2,17.3,41,0,,220,20.5,,1017,,
2012-06-20 19:00:00,31.7,17.2,42,0,,230,18.4,,1016.6,,
2012-06-20 20:00:00,30,18.4,50,0,,210,11.2,,1016.2,,
2012-06-20 21:00:00,28.9,18.4,53,0,,210,9.4,,1016,,
2012-06-20 22:00:00,27.8,17.9,55,0,,200,11.2,,1015.8,,
2012-06-20 23:00:00,26.1,18.3,62,0,,220,13,,1015.6,,
2012-06-21 00:00:00,26.1,17.7,60,0,,210,13,,1015.3,,
2012-06-21 01:00:00,25,17.7,64,0,,230,13,,1015.6,,
2012-06-21 02:00:00,25,17.7,64,0,,230,11.2,,1015.7,,
2012-06-21 03:00:00,23.9,17.9,69,0,,230,11.2,,1016.1,,
2012-06-21 04:00:00,23.3,17.7,71,0,,210,5.4,,1015.9,,
2012-06-21 05:00:00,22.2,18.4,79,0,,220,7.6,,1016,,
2012-06-21 06:00:00,21.7,17.9,79,0,,230,9.4,,1016,,
2012-06-21 07:00:00,22.8,18.3,76,0,,210,7.6,,1015.9,,
2012-06-21 08:00:00,24.4,18.8,71,0,,210,9.4,,1015.6,,
2012-06-21 09:00:00,26.7,18.3,60,0,,240,14.8,,1015.2,,
2012-06-21 10:00:00,28.3,17.8,53,0,,240,14.8,,1014.7,,
2012-06-21 11:00:00,29.4,17.2,48,0,,260,24.1,,1014.2,,
2012-06-21 12:00:00,30,16.1,43,0,,260,33.5,,1013.9,,
2012-06-21 13:00:00,30.6,16.2,42,0,,270,25.9,,1013.5,,
2012-06-21 14:00:00,31.7,15.6,38,0,,260,29.5,,1013,,
2012-06-21 15:00:00,32.2,14.8,35,0,,280,29.5,,1012.2,,
2012-06-21 16:00:00,31.7,15.6,38,0,,250,24.1,,1011.4,,
2012-06-21 17:00:00,32.2,14.8,35,0,,270,20.5,,1010.5,,
2012-06-21 18:00:00,32.2,14.4,34,0,,240,24.1,,1009.7,,
2012-06-21 19:00:00,31.1,14.3,36,0,,250,24.1,,1009.8,,
2012-06-21 20:00:00,29.4,16.2,45,0,,330,24.1,,1010.9,,
2012-06-21 21:00:00,24.4,18.8,71,0,,350,11.2,,1011.8,,
2012-06-21 22:00:00,23.3,19.5,79,0,,,0,,1012.1,,
2012-06-21 23:00:00,23.3,20.1,82,,,310,7.6,,1013.3,,
2012-06-22 00:00:00,21,18.9,88,2.3,,300,9.4,,,,
2012-06-22 01:00:00,20.6,18.9,90,0.3,,330,7.6,,1013.3,,
2012-06-22 02:00:00,20.6,17.8,84,0.5,,,0,,1012.7,,
2012-06-22 03:00:00,20,18.3,90,0.3,,,0,,1012.7,,
2012-06-22 04:00:00,19.4,18.2,93,0,,,0,,1012.6,,
2012-06-22 05:00:00,18.9,17.7,93,0,,,0,,1012.9,,
2012-06-22 06:00:00,18.3,17.8,97,0,,290,5.4,,1013.3,,
2012-06-22 07:00:00,18.9,17.7,93,,,,0,,1013.8,,
2012-06-22 08:00:00,21.7,18.3,81,,,350,9.4,,1014.1,,
2012-06-22 09:00:00,21.7,18.3,81,0,,330,9.4,,1014.5,,
2012-06-22 10:00:00,23.3,17.3,69,0,,40,13,,1014.9,,
2012-06-22 11:00:00,24.4,16.1,60,0,,,0,,1014.6,,
2012-06-22 12:00:00,25,16.2,58,0,,310,5.4,,1014.7,,
2012-06-22 13:00:00,25,17.7,64,0,,350,13,,1014.9,,
2012-06-22 14:00:00,25,15.6,56,0,,310,13,,1014.9,,
2012-06-22 15:00:00,26.1,12.9,44,0,,350,14.8,,1014.3,,
2012-06-22 16:00:00,26.1,11.8,41,0,,340,14.8,,1013.9,,
2012-06-22 17:00:00,26.1,12.2,42,0,,330,9.4,,1013.6,,
2012-06-22 18:00:00,24.4,12.7,48,0,,10,9.4,,1013.3,,
2012-06-22 19:00:00,24.4,12.7,48,0,,20,9.4,,1013.3,,
2012-06-22 20:00:00,25,12.9,47,0,,,0,,1013.5,,
2012-06-22 21:00:00,22.8,13.8,57,0,,50,5.4,,1013.4,,
2012-06-22 22:00:00,20.6,14.5,68,0,,,0,,1013.7,,
2012-06-22 23:00:00,19.4,15.1,76,0,,,0,,1014.2,,
2013-06-18 00:00:00,20,16,78,0,,50,18.4,,1012.9,,
2013-06-18 01:00:00,20,16,78,0,,110,9.4,,1012.3,,
2013-06-18 02:00:00,18.9,15,78,0,,,0,,1011.8,,
2013-06-18 03:00:00,18.9,15,78,0,,170,14.8,,1011.5,,
2013-06-18 04:00:00,18.3,15.5,84,0,,170,5.4,,1011.5,,
2013-06-18 05:00:00,18.3,15.5,84,0,,,0,,1011.9,,
2013-06-18 06:00:00,17.2,15,87,0,,,0,,1012.3,,
2013-06-18 07:00:00,17.2,15.5,90,0,,120,5.4,,1012.3,,
2013-06-18 08:00:00,18.3,15.5,84,0,,50,5.4,,1012.4,,
2013-06-18 09:00:00,19.4,15.7,79,0,,40,9.4,,1013,,
2013-06-18 10:00:00,20.6,16,75,0,,50,18.4,,1013.6,,
2013-06-18 11:00:00,21.1,15.6,71,0,,30,24.1,,1013.9,,
2013-06-18 12:00:00,22.2,15.1,64,0,,50,24.1,,1014.2,,
2013-06-18 13:00:00,21.7,16,70,0,,30,20.5,,1014.2,,
2013-06-18 14:00:00,20.6,16,75,0,,40,20.5,,1014.5,,
2013-06-18 15:00:00,20,15,73,0,,40,20.5,,1014.8,,
2013-06-18 16:00:00,20.6,13.8,65,0,,50,29.5,,1014.9,,
2013-06-18 17:00:00,21.1,13.8,63,0,,50,22.3,,1014.4,,
2013-06-18 18:00:00,20.6,12.8,61,0,,60,27.7,,1014.8,,
2013-06-18 19:00:00,20,12.3,61,0,,50,25.9,,1014.9,,
2013-06-18 20:00:00,19.4,12.2,63,0,,40,20.5,,1015.6,,
2013-06-18 21:00:00,17.8,12.9,73,0,,20,14.8,,1016.1,,
2013-06-18 22:00:00,16.7,14,84,0,,20,11.2,,1016.7,,
2013-06-18 23:00:00,16.1,13.2,83,0,,10,9.4,,1017.1,,
2013-06-19 00:00:00,15.6,12.2,80,0,,10,7.6,,1017.4,,
2013-06-19 01:00:00,15,12.1,83,0,,,0,,1017.1,,
2013-06-19 02:00:00,14.4,11.7,84,0,,10,5.4,,1017.4,,
2013-06-19 03:00:00,12.8,11,89,0,,350,5.4,,1017.8,,
2013-06-19 04:00:00,12.8,11,89,0,,,0,,1017.9,,
2013-06-19 05:00:00,12.8,10.5,86,0,,30,5.4,,1018.3,,
2013-06-19 06:00:00,12.8,10.5,86,0,,60,7.6,,1018.7,,
2013-06-19 07:00:00,13.3,11.7,90,0,,,0,,1019.3,,
2013-06-19 08:00:00,16.1,12.3,78,0,,70,9.4,,1020.2,,
2013-06-19 09:00:00,17.8,11.6,67,0,,60,11.2,,1020.8,,
2013-06-19 10:00:00,20,10.7,55,0,,60,11.2,,1020.8,,
2013-06-19 11:00:00,20.6,8.9,47,0,,70,16.6,,1020.9,,
2013-06-19 12:00:00,21.1,8.4,44,0,,40,11.2,,1021.1,,
2013-06-19 13:00:00,21.7,8.2,42,0,,60,16.6,,1021,,
2013-06-19 14:00:00,22.2,9,43,0,,60,22.3,,1021.2,,
2013-06-19 15:00:00,22.2,9,43,0,,50,11.2,,1021,,
2013-06-19 16:00:00,22.2,9,43,0,,60,20.5,,1020.5,,
2013-06-19 17:00:00,21.7,8.9,44,0,,30,14.8,,1020.4,,
2013-06-19 18:00:00,21.7,9.2,45,0,,30,16.6,,1020.2,,
2013-06-19 19:00:00,20.6,7.9,44,0,,30,18.4,,1020.4,,
2013-06-19 20:00:00,19.4,8.4,49,0,,60,13,,1020.3,,
2013-06-19 21:00:00,17.8,9.4,58,0,,60,7.6,,1020.5,,
2013-06-19 22:00:00,16.7,10.1,65,0,,80,7.6,,1020.9,,
2013-06-19 23:00:00,14.4,11.2,81,0,,,0,,1021.9,,
2013-06-20 00:00:00,13.3,10.7,84,0,,,0,,1022.1,,
2013-06-20 01:00:00,12.8,10.5,86,0,,,0,,1022.2,,
2013-06-20 02:00:00,12.8,10,83,0,,,0,,1021.9,,
2013-06-20 03:00:00,11.7,9.4,86,0,,,0,,1021.8,,
2013-06-20 04:00:00,12.8,8.3,74,0,,190,7.6,,1022,,
2013-06-20 05:00:00,12.2,8.3,77,0,,,0,,1022.1,,
2013-06-20 06:00:00,11.7,8.4,80,0,,,0,,1022.4,,
2013-06-20 07:00:00,12.2,9.4,83,0,,,0,,1022.9,,
2013-06-20 08:00:00,15.6,10.6,72,0,,220,9.4,,1023.5,,
2013-06-20 09:00:00,18.9,11.7,63,0,,200,5.4,,1023.8,,
2013-06-20 10:00:00,21.7,12.8,57,0,,,0,,1024,,
2013-06-20 11:00:00,23.3,9.3,41,0,,,0,,1023.8,,
2013-06-20 12:00:00,24.4,10.7,42,0,,,7.6,,1023.8,,
2013-06-20 13:00:00,25,10.5,40,0,,330,5.4,,1023.4,,
2013-06-20 14:00:00,25.6,10.6,39,0,,,0,,1023.1,,
2013-06-20 15:00:00,26.1,9.9,36,0,,,5.4,,1023.4,,
2013-06-20 16:00:00,25.6,9.8,37,0,,50,13,,1023.4,,
2013-06-20 17:00:00,26.1,9.4,35,0,,,5.4,,1023.1,,
2013-06-20 18:00:00,25.6,9.8,37,0,,90,14.8,,1023,,
2013-06-20 19:00:00,25.6,9.8,37,0,,120,11.2,,1022.5,,
2013-06-20 20:00:00,24.4,11,43,0,,120,11.2,,1022.1,,
2013-06-20 21:00:00,22.8,11.2,48,0,,100,9.4,,1022,,
2013-06-20 22:00:00,20.6,11,54,0,,80,7.6,,1022.4,,
2013-06-20 23:00:00,19.4,11.7,61,0,,,0,,1022.9,,
2013-06-21 00:00:00,18.9,11.2,61,0,,130,5.4,,1022.9,,
2013-06-21 01:00:00,17.8,11.6,67,0,,,0,,1023.3,,
2013-06-21 02:00:00,17.8,11.6,67,0,,,0,,1023.4,,
2013-06-21 03:00:00,16.1,13.2,83,0,,,0,,1023.4,,
2013-06-21 04:00:00,15.6,12.2,80,0,,190,5.4,,1023.2,,
2013-06-21 05:00:00,15,12.1,83,0,,160,5.4,,1023.2,,
2013-06-21 06:00:00,15.6,11.8,78,0,,170,5.4,,1023.2,,
2013-06-21 07:00:00,16.1,12.3,78,0,,,0,,1023.5,,
2013-06-21 08:00:00,18.3,13.4,73,0,,180,9.4,,1023.8,,
2013-06-21 09:00:00,21.1,14.5,66,0,,170,9.4,,1023.5,,
2013-06-21 10:00:00,23.9,15.7,60,0,,160,9.4,,1024,,
2013-06-21 11:00:00,25.6,15.6,54,0,,180,13,,1023.8,,
2013-06-21 12:00:00,27.2,15.6,49,0,,200,14.8,,1023.4,,
2013-06-21 13:00:00,27.8,15.5,47,0,,,0,,1023.8,,
2013-06-21 14:00:00,28.3,14.9,44,0,,210,11.2,,1023.3,,
2013-06-21 15:00:00,29.4,15.2,42,0,,190,16.6,,1022.7,,
2013-06-21 16:00:00,30,14.5,39,0,,180,14.8,,1022.3,,
2013-06-21 17:00:00,29.4,15.2,42,0,,200,14.8,,1021.6,,
2013-06-21 18:00:00,28.9,14,40,0,,190,11.2,,1021.3,,
2013-06-21 19:00:00,28.9,15.1,43,0,,200,13,,1020.9,,
2013-06-21 20:00:00,27.2,14.9,47,0,,190,9.4,,1020.8,,
2013-06-21 21:00:00,25,15.6,56,0,,180,9.4,,1020.4,,
2013-06-21 22:00:00,23.3,15.6,62,0,,170,11.2,,1020,,
2013-06-21 23:00:00,23.3,15.6,62,0,,170,11.2,,1020.3,,
2013-06-22 00:00:00,22.8,14.9,61,0,,180,9.4,,1020.2,,
2013-06-22 01:00:00,21.1,15.6,71,0,,200,7.6,,1020.9,,
2013-06-22 02:00:00,20.6,15.6,73,0,,190,7.6,,1020.6,,
2013-06-22 03:00:00,21.1,15.6,71,0,,190,13,,1019.6,,
2013-06-22 04:00:00,19.4,15.1,76,0,,200,5.4,,1019.6,,
2013-06-22 05:00:00,19.4,15.7,79,0,,200,9.4,,1019.1,,
2013-06-22 06:00:00,20,15.6,76,0,,200,11.2,,1019.2,,
2013-06-22 07:00:00,20.6,15.6,73,0,,210,9.4,,1019.8,,
2013-06-22 08:00:00,22.8,16.6,68,0,,210,13,,1019.8,,
2013-06-22 09:00:00,25,18.2,66,0,,230,20.5,,1020.1,,
2013-06-22 10:00:00,27.2,19,61,0,,240,18.4,,1020.3,,
2013-06-22 11:00:00,28.9,19.5,57,0,,240,13,,1020.5,,
2013-06-22 12:00:00,30,20.6,57,0,,240,13,,1020.3,,
2013-06-22 13:00:00,30.6,20.5,55,0,,230,16.6,,1020,,
2013-06-22 14:00:00,31.7,21.6,55,0,,230,16.6,,1019.4,,
2013-06-22 15:00:00,32.2,20.1,49,0,,240,16.6,,1019.1,,
2013-06-22 16:00:00,32.2,20.5,50,0,,200,18.4,,1017.9,,
2013-06-22 17:00:00,32.2,20.5,50,0,,200,22.3,,1016.8,,
2013-06-22 18:00:00,31.7,19,47,0,,210,22.3,,1016.5,,
2013-06-22 19:00:00,30.6,19,50,0,,230,16.6,,1017,,
2013-06-22 20:00:00,29.4,20,57,0,,310,25.9,,1017.5,,
2013-06-22 21:00:00,25,20,74,0.3,,220,18.4,,1017.3,,
2013-06-22 22:00:00,24.4,21.1,82,,,210,9.4,,1017.6,,
2013-06-22 23:00:00,23.9,20.6,82,0,,260,5.4,,1018.7,,
2014-06-18 00:00:00,28.3,20.1,61,0,,260,20.5,,1013.6,,
2014-06-18 01:00:00,28.3,20.1,61,0,,290,13,,1014.3,,
2014-06-18 02:00:00,27.2,20.5,67,,,290,11.2,,1014.5,,
2014-06-18 03:00:00,26.7,20.5,69,0,,,0,,1014.7,,
2014-06-18 04:00:00,26.1,20.7,72,,,10,9.4,,1015,,
2014-06-18 05:00:00,23.3,20.1,82,0.5,,,0,,1015.4,,
2014-06-18 06:00:00,22.8,20,84,0,,,0,,1015.2,,
2014-06-18 07:00:00,22.8,20.5,87,0,,160,5.4,,1016.2,,
2014-06-18 08:00:00,23.9,20.6,82,0,,360,27.7,,1017.3,,
2014-06-18 09:00:00,23.3,17.7,71,0,,90,13,,1017.7,,
2014-06-18 10:00:00,25,18.2,66,0,,170,16.6,,1016.9,,
2014-06-18 11:00:00,27.2,19.3,62,0,,170,9.4,,1016.5,,
2014-06-18 12:00:00,28.9,20.6,61,0,,,11.2,,1016.9,,
2014-06-18 13:00:00,31.1,21,55,0,,240,13,,1016.7,,
2014-06-18 14:00:00,31.1,21,55,0,,,11.2,,1016,,
2014-06-18 15:00:00,33.3,21.1,49,0,,190,16.6,,1014.7,,
2014-06-18 16:00:00,34.4,19.3,41,0,,230,18.4,,1013.8,,
2014-06-18 17:00:00,33.3,17.9,40,0,,260,18.4,,1013.4,,
2014-06-18 18:00:00,30,20.6,57,0,,70,7.6,,1013.7,,
2014-06-18 19:00:00,22.2,19,82,15.7,,330,11.2,,1016.1,,
2014-06-18 20:00:00,22.2,19.4,84,0.8,,,0,,1016,,
2014-06-18 21:00:00,22.2,19.9,87,1,,,0,,1015,,
2014-06-18 22:00:00,22.2,19.4,84,,,,0,,1015.1,,
2014-06-18 23:00:00,21.7,19.4,87,0,,,0,,1016.7,,
2014-06-19 00:00:00,21.7,20,90,0,,,0,,1017.2,,
2014-06-19 01:00:00,21.7,20,90,0.8,,190,13,,1016.3,,
2014-06-19 02:00:00,21.7,19.4,87,1.5,,120,11.2,,1015.2,,
2014-06-19 03:00:00,21.7,19.4,87,7.6,,200,7.6,,1015.6,,
2014-06-19 04:00:00,21.7,20,90,3.6,,210,13,,1015.3,,
2014-06-19 05:00:00,21.7,19.4,87,0.8,,,0,,1015.2,,
2014-06-19 06:00:00,21.1,18.9,87,3,,,0,,1015.7,,
