time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2015-06-18 00:00:00,22,21,94,,,200,11.2,,,,
2015-06-18 01:00:00,,,,,,,,,,,
2015-06-18 02:00:00,23,22,94,,,200,7.6,,,,
2015-06-18 03:00:00,23,22,94,,,210,9.4,,,,
2015-06-18 04:00:00,23,22,94,,,220,7.6,,,,
2015-06-18 05:00:00,22.7,22.7,100,,,230,7.6,,,,
2015-06-18 06:00:00,23.3,22.6,96,,,250,7.6,,,,
2015-06-18 07:00:00,24,23,94,,,260,7.6,,,,
2015-06-18 08:00:00,24.4,23.4,94,,,240,11.2,,,,
2015-06-18 09:00:00,25,23.1,89,,,250,14.8,,,,
2015-06-18 10:00:00,,,,,,,,,,,
2015-06-18 11:00:00,27,23,79,,,250,11.2,,,,
2015-06-18 12:00:00,,,,,,,,,,,
2015-06-18 13:00:00,28.8,22.8,70,,,280,18.4,,,,
2015-06-18 14:00:00,27,23,79,,,320,11.2,,,,
2015-06-18 15:00:00,28,22.9,74,,,,5.4,,,,
2015-06-18 16:00:00,26,21,74,,,,5.4,,,,
2015-06-18 17:00:00,22,19.9,88,,,,0,,,,
2015-06-18 18:00:00,24.4,21.1,82,,,,0,,,,
2015-06-18 19:00:00,23,21.1,89,,,,0,,,,
2015-06-18 20:00:00,,,,,,,,,,,
2015-06-18 21:00:00,23,22,94,,,,11.2,,,,
2015-06-18 22:00:00,22.2,21.5,96,,,240,14.8,,,,
2015-06-18 23:00:00,22,21,94,,,240,14.8,,,,
2015-06-19 00:00:00,22.2,21,93,,,240,16.6,,,,
2015-06-19 01:00:00,22.2,20.5,90,,,250,16.6,,,,
2015-06-19 02:00:00,22,21,94,,,280,13,,,,
2015-06-19 03:00:00,21,20,94,,,30,18.4,,,,
2015-06-19 04:00:00,18.8,17.6,93,,,50,14.8,,,,
2015-06-19 05:00:00,18,16,88,,,40,13,,,,
2015-06-19 06:00:00,,,,,,,,,,,
2015-06-19 07:00:00,17.7,14.4,81,,,40,9.4,,,,
2015-06-19 08:00:00,18,13.9,77,,,30,11.2,,,,
2015-06-19 09:00:00,18,15.1,83,,,20,14.8,,,,
2015-06-19 10:00:00,18.3,15.5,84,,,10,11.2,,,,
2015-06-19 11:00:00,19,16,83,,,50,9.4,,,,
2015-06-19 12:00:00,18.8,15.5,81,,,30,14.8,,,,
2015-06-19 13:00:00,18.8,15.5,81,,,60,14.8,,,,
2015-06-19 14:00:00,19,16,83,,,90,14.8,,,,
2015-06-19 15:00:00,,,,,,,,,,,
2015-06-19 16:00:00,,,,,,,,,,,
2015-06-19 17:00:00,19.4,15.5,78,,,110,14.8,,,,
2015-06-19 18:00:00,20,15.4,75,,,120,11.2,,,,
2015-06-19 19:00:00,19.4,16.1,81,,,110,13,,,,
2015-06-19 20:00:00,19,16,83,,,100,7.6,,,,
2015-06-19 21:00:00,18.8,15.5,81,,,90,7.6,,,,
2015-06-19 22:00:00,17.7,15.5,87,,,80,7.6,,,,
2015-06-19 23:00:00,18,16,88,,,80,9.4,,,,
2015-06-20 00:00:00,18.3,16.1,87,,,80,7.6,,,,
2015-06-20 01:00:00,18.3,16.1,87,,,80,14.8,,,,
2015-06-20 02:00:00,18,16,88,,,100,14.8,,,,
2015-06-20 03:00:00,18.3,16.6,90,,,100,13,,,,
2015-06-20 04:00:00,19,17,88,,,110,13,,,,
2015-06-20 05:00:00,,,,,,,,,,,
2015-06-20 06:00:00,19,18,94,,,100,7.6,,,,
2015-06-20 07:00:00,19,18,94,,,90,11.2,,,,
2015-06-20 08:00:00,19,18,94,,,90,13,,,,
2015-06-20 09:00:00,19,19,100,,,100,13,,,,
2015-06-20 10:00:00,20,19,94,,,100,11.2,,,,
2015-06-20 11:00:00,22,19.9,88,,,90,13,,,,
2015-06-20 12:00:00,21,20,94,,,90,13,,,,
2015-06-20 13:00:00,22.2,19.9,87,,,60,16.6,,,,
2015-06-20 14:00:00,23,21.1,89,,,80,18.4,,,,
2015-06-20 15:00:00,22.7,20.4,87,,,80,18.4,,,,
2015-06-20 16:00:00,21.6,20.1,91,,,60,14.8,,,,
2015-06-20 17:00:00,22.7,20.4,87,,,70,14.8,,,,
2015-06-20 18:00:00,22.2,20.5,90,,,80,11.2,,,,
2015-06-20 19:00:00,21.6,20.4,93,,,100,14.8,,,,
2015-06-20 20:00:00,21.6,20.1,91,,,,0,,,,
2015-06-20 21:00:00,21.1,19.9,93,,,,0,,,,
2015-06-20 22:00:00,22.7,22.2,97,,,320,7.6,,,,
2015-06-20 23:00:00,21.6,21.1,97,,,,0,,,,
2015-06-21 00:00:00,,,,,,,,,,,
2015-06-21 01:00:00,21.6,21.6,100,,,200,7.6,,,,
2015-06-21 02:00:00,22.7,22.2,97,,,230,13,,,,
2015-06-21 03:00:00,23.3,22.3,94,,,240,18.4,,,,
2015-06-21 04:00:00,23.3,22.3,94,,,240,18.4,,,,
2015-06-21 05:00:00,23.3,22.3,94,,,250,24.1,,,,
2015-06-21 06:00:00,23.3,21.6,90,,,250,22.3,,,,
2015-06-21 07:00:00,23.3,21.6,90,,,260,13,,,,
2015-06-21 08:00:00,24,22.1,89,,,290,14.8,,,,
2015-06-21 09:00:00,25.5,22.2,82,,,260,11.2,,,,
2015-06-21 10:00:00,26.6,22.2,77,,,240,11.2,,,,
2015-06-21 11:00:00,,,,,,,,,,,
2015-06-21 12:00:00,28,22,70,,,260,14.8,,,,
2015-06-21 13:00:00,27,22,74,,,260,18.4,,,,
2015-06-21 14:00:00,27,23,79,,,300,14.8,,,,
2015-06-21 15:00:00,28.8,23.2,72,,,310,16.6,,,,
2015-06-21 16:00:00,27,22,74,,,290,9.4,,,,
2015-06-21 17:00:00,29,23,70,,,,7.6,,,,
2015-06-21 18:00:00,30,22.7,65,,,270,13,,,,
2015-06-21 19:00:00,26,20.1,70,,,10,13,,,,
2015-06-21 20:00:00,27.2,21,69,,,,0,,,,
2015-06-21 21:00:00,26.1,21.1,74,,,270,9.4,,,,
2015-06-21 22:00:00,24.4,19.5,74,,,260,11.2,,,,
2015-06-21 23:00:00,24.4,19.5,74,,,260,9.4,,,,
2015-06-22 00:00:00,22.7,18.9,79,,,250,9.4,,,,
2015-06-22 01:00:00,21.6,18.8,84,,,260,11.2,,,,
2015-06-22 02:00:00,21.6,18.4,82,,,250,9.4,,,,
2015-06-22 03:00:00,21.1,18.3,84,,,,0,,,,
2015-06-22 04:00:00,20,17.8,87,,,,0,,,,
2015-06-22 05:00:00,19.4,17.7,90,,,180,5.4,,,,
2015-06-22 06:00:00,20,19,94,,,,0,,,,
2015-06-22 07:00:00,21,18.9,88,,,,0,,,,
2015-06-22 08:00:00,22.7,20.4,87,,,160,7.6,,,,
2015-06-22 09:00:00,24.4,21.1,82,,,180,9.4,,,,
