"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","TMAX","TMIN"
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-18",,,"0.26",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-19",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-20",,,"1.15",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-21",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-22",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-23",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-24",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-25",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-26",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-27",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-29",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-30",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-07-31",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-01",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-02",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-03",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-04",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-05",,,"0.38",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-06",,,"0.22",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-07",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-08",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-09",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-10",,,"0.86",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-11",,,"0.03",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-12",,,"0.00",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-13",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-14",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-15",,,"1.19",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-16",,,"0.02",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-17",,,"0.02",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-18",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-19",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-20",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-21",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-22",,,"0.06",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-23",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-24",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-25",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-26",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-27",,,"0.00",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-28",,,"1.56",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-29",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-30",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-08-31",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-01",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-02",,,"0.05",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-04",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-05",,,"0.05",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-06",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-07",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-08",,,"1.48",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-09",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-10",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-11",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-12",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-13",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-14",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-15",,,"0.28",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-16",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-17",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-18",,,"0.34",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-19",,,"0.21",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-20",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-21",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-22",,,"0.79",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-23",,,"0.35",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-24",,,"0.02",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-25",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-27",,,"0.39",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-28",,,"0.00",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-29",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-09-30",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-01",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-02",,,"0.21",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-03",,,"0.06",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-04",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-05",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-06",,,"0.82",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-07",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-08",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-09",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-10",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-11",,,"0.04",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-12",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-13",,,"0.00",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-14",,,"0.09",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-15",,,"0.03",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-16",,,"0.00",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-17",,,"0.02",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-18",,,"0.02",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-19",,,"0.16",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-20",,,"0.20",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-21",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-22",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-23",,,"0.15",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-24",,,"0.10",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-25",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-26",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-27",,,"1.00",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-28",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-29",,,"0.61",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-30",,,"1.06",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-10-31",,,"0.63",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-01",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-02",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-03",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-04",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-05",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-06",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-07",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-08",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-09",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-10",,,"0.06",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-12",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-13",,,"0.46",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-14",,,"0.02","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-15",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-16",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-17",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-19",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-20",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2012-11-21",,,"0.00","0.0",,
